 36 months, 60 months,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,< 1 year,MORTGAGE,Not Verified,OTHER_Home_Ownership,OTHER_Purposes,OWN,RENT,Source Verified,Verified,annual_inc,car,credit_card,debt_consolidation,educational,funded_amnt,home_improvement,house,installment,int_rate,loan_amnt,major_purchase,medical,moving,renewable_energy,small_business,vacation,wedding
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,38000.0,0,0,1,0,18825.0,0,0,465.53,16.77,18825.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,75000.0,0,1,0,0,10000.0,0,0,362.78,18.25,10000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,67000.0,0,1,0,0,25000.0,0,0,575.12,13.49,25000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45000.0,0,0,1,0,19750.0,0,0,643.33,10.65,19750.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,52000.0,0,0,1,0,11800.0,0,0,312.04,19.91,28000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,90000.0,0,0,0,0,24000.0,1,0,843.3,15.96,24000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,41000.0,0,1,0,0,11100.0,0,0,340.82,6.62,11100.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42000.0,0,0,1,0,12000.0,0,0,386.7,9.91,12000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,60000.0,0,0,1,0,10000.0,0,0,330.76,11.71,10000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25000.0,0,1,0,0,13475.0,0,0,309.99,13.49,13475.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,85000.0,0,0,1,0,5600.0,0,0,193.17,14.65,5600.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12000.0,0,0,1,0,2500.0,0,0,77.78,7.51,2500.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,65000.0,0,0,0,0,10000.0,0,0,339.31,13.49,10000.0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,24000.0,0,0,1,0,7750.0,0,0,277.36,17.27,7750.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,70000.0,0,0,1,0,20000.0,0,0,539.84,20.89,20000.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60000.0,0,0,1,0,21000.0,0,0,464.07,11.71,21000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,42000.0,0,0,1,0,15000.0,0,0,533.08,16.77,15000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,75000.0,0,0,1,0,15000.0,0,0,536.81,17.27,15000.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,58500.0,0,0,1,0,16000.0,0,0,536.72,12.69,16000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,70000.0,0,0,0,0,12000.0,0,0,411.71,14.27,12000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,86000.0,0,0,1,0,13650.0,0,0,456.12,12.42,13650.0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30000.0,0,0,1,0,10500.0,0,0,370.66,16.29,10500.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,35000.0,0,0,1,0,15075.0,0,0,517.21,14.27,15075.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,52500.0,0,0,0,0,9500.0,0,0,318.68,12.69,9500.0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,68000.0,0,0,1,0,7200.0,0,0,225.29,7.9,7200.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,53000.0,0,0,0,0,26000.0,1,0,642.96,16.77,26000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,69600.0,0,1,0,0,7000.0,0,0,154.69,11.71,7000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,70000.0,0,1,0,0,10000.0,0,0,335.45,12.69,10000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,50000.0,0,0,0,0,15600.0,0,0,352.48,12.69,15600.0,0,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25000.0,0,0,1,0,4000.0,0,0,134.18,12.69,4000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,39000.0,0,1,0,0,10000.0,0,0,334.16,12.42,10000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,80000.0,0,0,0,0,12000.0,0,0,381.04,8.9,12000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,35000.0,0,0,0,0,16000.0,0,0,368.08,13.49,16000.0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,25920.0,0,0,1,0,11875.0,0,0,268.32,12.69,11875.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,45600.0,0,0,1,0,14000.0,0,0,438.07,7.9,14000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,50000.0,0,1,0,0,8000.0,0,0,282.41,16.29,8000.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,70000.0,0,0,0,0,30000.0,0,0,673.72,12.42,30000.0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,40000.0,0,0,0,0,18000.0,1,0,445.13,16.77,18000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,59000.0,0,0,1,0,20000.0,0,0,533.23,20.3,20000.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60000.0,0,1,0,0,9000.0,0,0,238.0,19.91,9000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,61500.0,0,0,1,0,25000.0,0,0,643.58,18.64,25000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,78216.0,0,0,1,0,20000.0,0,0,478.64,15.27,20000.0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,62000.0,0,0,1,0,18000.0,0,0,449.97,17.27,18000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30000.0,0,0,1,0,5000.0,0,0,167.08,12.42,5000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55000.0,0,0,1,0,12000.0,0,0,386.7,9.91,12000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,32000.0,0,1,0,0,10000.0,0,0,330.76,11.71,10000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,116400.0,1,0,0,0,24000.0,0,0,762.08,8.9,24000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,57200.0,0,0,1,0,12000.0,0,0,396.92,11.71,12000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,35000.0,0,0,1,0,10000.0,0,0,335.45,12.69,10000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35000.0,0,0,1,0,9750.0,0,0,303.34,7.51,9750.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,53004.0,0,0,0,0,3000.0,0,0,77.88,19.03,3000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60000.0,0,1,0,0,25000.0,0,0,654.31,19.42,25000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,35360.0,0,0,1,0,8875.0,0,0,297.72,12.69,8875.0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32000.0,0,0,1,0,12000.0,0,0,381.04,8.9,12000.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30000.0,0,0,1,0,15000.0,0,0,338.93,12.69,15000.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,36000.0,0,0,1,0,8050.0,0,0,270.04,12.69,8050.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,30084.0,0,0,1,0,6000.0,0,0,121.38,7.9,6000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,17000.0,0,0,0,0,1500.0,0,0,54.72,18.64,1500.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,75000.0,0,0,1,0,16925.0,0,0,399.55,14.65,20000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,18408.0,0,0,0,0,1000.0,0,0,34.5,14.65,1000.0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,50000.0,0,0,1,0,8500.0,0,0,291.63,14.27,8500.0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,75000.0,0,0,1,0,20675.0,0,0,475.63,13.49,33425.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,40000.0,0,0,1,0,18000.0,0,0,397.77,11.71,18000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60000.0,0,0,1,0,20000.0,0,0,494.59,16.77,20000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,51871.0,0,0,1,0,14400.0,0,0,522.41,18.25,14400.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,43000.0,0,0,1,0,4200.0,0,0,105.0,17.27,4200.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,86004.0,0,0,0,0,3000.0,0,0,97.72,10.65,3000.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,110000.0,0,0,0,0,15000.0,0,0,529.51,16.29,15000.0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,68000.0,0,0,1,0,10000.0,0,0,357.88,17.27,10000.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51000.0,0,0,1,0,16000.0,0,0,500.65,7.9,16000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,48000.0,0,0,1,0,2200.0,0,0,76.56,15.27,2200.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,105000.0,0,1,0,0,25000.0,0,0,654.31,19.42,25000.0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,51204.0,0,0,1,0,8000.0,0,0,165.68,8.9,8000.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,85000.0,0,0,1,0,23250.0,0,0,619.88,20.3,35000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,75000.0,0,1,0,0,12000.0,0,0,283.28,14.65,12000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,37000.0,0,0,0,0,21250.0,0,0,710.08,12.42,21250.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60000.0,0,0,1,0,15000.0,0,0,521.97,15.27,15000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,30000.0,0,0,0,0,4000.0,1,0,134.18,12.69,4000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,45000.0,0,0,0,0,4000.0,0,1,105.78,19.91,4000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,37800.0,0,0,0,0,1700.0,1,0,53.2,7.9,1700.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,54400.0,0,0,1,0,12000.0,0,0,413.94,14.65,12000.0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,42500.0,0,0,1,0,8000.0,0,0,213.29,20.3,8000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,28000.0,0,0,1,0,13000.0,0,0,458.91,16.29,13000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,68809.0,0,0,1,0,24000.0,0,0,603.98,17.58,24000.0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,75000.0,1,0,0,0,11200.0,0,0,374.26,12.42,11200.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,28000.0,0,1,0,0,12000.0,0,0,411.71,14.27,12000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,118000.0,0,0,0,0,28000.0,1,0,876.13,7.9,28000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,65000.0,0,0,0,0,3000.0,0,0,93.88,7.9,3000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,32000.0,0,0,1,0,8575.0,0,0,308.21,17.58,8575.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,84996.0,0,0,1,0,18625.0,0,0,418.27,12.42,28000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,49000.0,0,1,0,0,16000.0,0,0,408.48,18.25,16000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,80000.0,0,1,0,0,11000.0,0,0,344.2,7.9,11000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,85000.0,0,0,0,0,5000.0,0,0,176.51,16.29,5000.0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,36000.0,0,0,1,0,10000.0,0,0,335.45,12.69,10000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,65000.0,0,0,0,0,3000.0,0,0,105.91,16.29,3000.0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,29772.96,0,0,0,0,7700.0,0,0,273.65,16.77,7700.0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,85000.0,0,1,0,0,24500.0,0,0,661.3,20.89,24500.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,160000.0,0,0,1,0,22200.0,0,0,818.49,19.42,22200.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28000.0,0,1,0,0,13000.0,0,0,406.78,7.9,13000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,60000.0,0,0,0,0,3600.0,0,0,120.77,12.69,3600.0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,40000.0,0,0,0,0,12375.0,0,0,349.79,23.13,12375.0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33000.0,0,0,1,0,7100.0,0,0,244.91,14.65,7100.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,85000.0,0,1,0,0,22400.0,0,0,628.13,22.74,22400.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,41000.0,0,0,1,0,22250.0,0,0,746.38,12.69,22250.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,57000.0,0,0,1,0,7650.0,0,0,253.04,11.71,7650.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,50132.0,0,0,0,0,20675.0,0,0,494.8,15.27,20675.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,47800.0,0,0,1,0,20500.0,0,0,463.2,12.69,20500.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,65000.0,0,0,1,0,29000.0,0,0,651.27,12.42,29000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,88000.0,0,0,1,0,12000.0,0,0,421.65,15.96,12000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30000.0,0,0,1,0,10000.0,0,0,339.31,13.49,10000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,58600.0,0,0,0,0,21600.0,1,0,773.01,17.27,21600.0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27500.0,0,0,0,0,8250.0,0,0,218.17,19.91,8250.0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,60000.0,1,0,0,0,12000.0,0,0,400.99,12.42,12000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33000.0,0,1,0,0,7200.0,0,0,238.15,11.71,7200.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,35000.0,0,0,1,0,10000.0,0,0,330.76,11.71,10000.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,77400.0,0,1,0,0,10000.0,0,0,343.09,14.27,10000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,30000.0,0,1,0,0,6000.0,0,0,205.86,14.27,6000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,41000.0,0,0,0,0,7000.0,0,0,248.77,16.77,7000.0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,30000.0,0,0,1,0,3000.0,0,0,100.64,12.69,3000.0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41600.0,0,0,1,0,13200.0,0,0,436.61,11.71,13200.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,70000.0,0,0,0,0,20000.0,0,0,510.6,18.25,20000.0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,45696.0,0,0,1,0,14125.0,0,0,472.0,12.42,14125.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,66000.0,0,0,1,0,18000.0,0,0,610.75,13.49,18000.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,71316.0,0,0,1,0,21350.0,0,0,576.27,20.89,35000.0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,50000.0,0,0,1,0,16000.0,0,0,402.65,17.58,16000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,83000.0,0,0,1,0,12000.0,0,0,373.33,7.51,12000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,42000.0,0,0,1,0,13000.0,0,0,485.12,20.3,13000.0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30000.0,0,0,1,0,7125.0,0,0,221.67,7.51,7125.0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,55000.0,0,0,1,0,9600.0,0,0,298.67,7.51,9600.0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,63000.0,0,0,1,0,12000.0,0,0,271.14,12.69,12000.0,0,0,0,0,0,0,0
